problem,M,n,seed,group,HV,IGD+,runtime
dtlz1,3,20,42,baseline,0.0,3.2144647261628365,226.24766373634338
dtlz1,3,20,42,smac3,1.1373130071500592,0.29387080424526907,227.3928689956665
dtlz1,3,20,42,dynamic,0.0,1.5351282256640177,238.94476795196533
dtlz1,3,20,43,baseline,0.03826277763657222,1.1625241413192753,230.29609560966492
dtlz1,3,20,43,smac3,1.2951849141092073,0.009603641255492661,228.63966131210327
dtlz1,3,20,44,baseline,1.2997329052908473,0.00760522317454484,229.35869073867798
dtlz1,3,20,43,dynamic,0.0013630634749596123,1.4461980295917134,239.65021443367004
dtlz1,3,20,45,baseline,0.742683770418435,0.5782558589010343,226.37474036216736
dtlz1,3,20,44,smac3,1.3034094352992152,0.018807059708801505,229.4937403202057
dtlz1,3,20,45,smac3,1.3071535603825517,0.0008998218017112884,228.37575244903564
dtlz1,3,20,46,baseline,0.7430642551690448,0.5781302062039753,226.8759047985077
dtlz1,3,20,44,dynamic,0.0,3.7546586652342717,240.48135900497437
dtlz1,3,20,45,dynamic,0.29732079786156873,0.8678176349005123,236.1845006942749
dtlz1,3,20,46,smac3,0.7428685780888076,0.5782124708133398,227.87244653701782
dtlz1,3,20,46,dynamic,0.0,2.3262610991522807,237.65149688720703
dtlz1,3,20,47,baseline,0.11898495338162192,0.9338591299959222,229.15389394760132
dtlz1,3,20,47,smac3,1.3073599387184962,3.9577997156774155e-05,228.32608556747437
dtlz1,3,20,48,baseline,0.0,1.7330956706130094,228.48021626472473
dtlz1,3,20,47,dynamic,0.0,1.7768673045400107,239.84740328788757
dtlz1,3,20,49,baseline,0.0012560317289184142,1.449224663970616,225.24797654151917
dtlz1,3,20,48,smac3,1.307356211882137,4.277850153553886e-05,229.28982281684875
dtlz1,3,20,49,smac3,0.04881871293411208,1.1695268224094897,229.17212748527527
dtlz1,3,20,50,baseline,0.7260287418623026,0.5851273525122066,227.40732860565186
dtlz1,3,20,48,dynamic,0.0,2.311752493225914,241.1024293899536
dtlz1,3,20,50,smac3,1.3028560861980851,0.020761317785660587,229.3505322933197
dtlz1,3,20,51,baseline,0.731640858145779,0.5849082002077911,227.3131217956543
dtlz1,3,20,49,dynamic,0.0,3.7645349320330928,240.50934624671936
dtlz1,3,20,50,dynamic,0.0,2.022109445801077,237.56921100616455
dtlz1,3,20,51,smac3,1.3071435103135638,0.0011139767161532658,228.4840967655182
dtlz1,3,20,51,dynamic,0.0,3.7550853861579503,240.1384038925171
dtlz1,3,20,52,baseline,0.0013054065861763233,1.4491113632685833,228.52301955223083
dtlz1,3,20,52,smac3,0.6851466438474235,0.5841815077708328,229.26795864105225
dtlz1,3,20,53,baseline,0.054901361366661044,1.1563433801203609,227.33498811721802
dtlz1,3,20,52,dynamic,0.0,3.178226294215711,240.59416890144348
dtlz1,3,20,53,smac3,1.127799245997361,0.30360198197921917,229.41195917129517
dtlz1,3,20,54,baseline,0.0,2.6030356946621067,228.68258428573608
dtlz1,3,20,54,smac3,0.298678245763618,0.8667278616843999,228.83944463729858
dtlz1,3,20,53,dynamic,0.05176059459335272,1.1629371952816234,240.00336861610413
dtlz1,3,20,55,baseline,0.0,3.486821605679476,227.3847997188568
dtlz1,3,20,55,smac3,1.306196460524723,0.003923639919889174,227.65484881401062
dtlz1,3,20,54,dynamic,0.0,1.7332940804684203,239.77996826171875
dtlz1,3,20,55,dynamic,0.0,5.227727883836444,236.94807052612305
dtlz1,3,20,56,baseline,0.04736274945981389,1.161767884185816,227.35303950309753
dtlz1,3,20,56,smac3,1.1413985228540406,0.2899342328098267,230.0814290046692
dtlz1,3,20,56,dynamic,0.0,1.738726425028716,238.28576683998108
dtlz1,3,20,57,baseline,1.3072339791613041,0.00012336962584919096,228.8069462776184
dtlz1,3,20,57,smac3,1.1075335670555377,0.3226851398868522,226.72936916351318
dtlz1,3,20,58,baseline,0.29787998341782,0.8673635002359684,229.29874968528748
dtlz1,3,20,57,dynamic,0.0,2.3339513570769954,240.80504941940308
dtlz1,3,20,58,smac3,1.3070070936032265,0.0016972374517528954,230.81076669692993
dtlz1,3,20,59,baseline,0.2837332220399586,0.8786438196234064,230.49768805503845
dtlz1,3,20,59,smac3,1.1419555812303221,0.2894205941243146,227.25552535057068
dtlz1,3,20,58,dynamic,0.0009480193030212334,1.4521753451854837,241.98739552497864
dtlz1,3,20,60,baseline,0.0013172476030990485,1.4487388623164157,229.92383241653442
dtlz1,3,20,59,dynamic,0.0,2.6027686960744143,237.82165026664734
dtlz1,3,20,60,smac3,1.3070075399628602,0.0001885125923968686,227.97838282585144
dtlz1,3,20,60,dynamic,0.0,3.7552857203630077,238.56435084342957
dtlz1,3,20,61,baseline,1.1353860206059763,0.2960646068950032,230.64773869514465
dtlz1,3,20,61,smac3,1.13473685867825,0.2959545404553198,231.2261278629303
dtlz1,3,20,61,dynamic,0.0,4.044829824512472,241.04598593711853
